,発表番号,発表タイトル,発表組織,発表組織カテゴリ,クラスタラベル(k=3),クラスタラベル(k=4),クラスタラベル(k=5),クラスタラベル(k=6),クラスタラベル(k=7)
34,1307,達成感を得ながら成長意欲を促す、人材育成活動の提案,日本電気,企業,3,3,3,4,5
35,2308,若手PMの育成,日本アイ・ビー・エムデジタルサービス,企業,1,1,1,2,2
36,2309,PDPC法を応用したPMメンタリング指導の工夫と配慮,NTTデータユニバーシティ,企業,2,2,2,3,3
37,2310,プロジェクトマネージャ育成における課題管理について,日立製作所,企業,1,1,1,2,2
38,1401,レジリエンスを導入した情報システム開発プロジェクト・チームの編成に関する研究,文教大学,大学,2,2,2,3,3
39,1402,ボトルネック解明がIT運用業務のリードタイムを劇的に短縮させた事例と考察,リクルート,企業,3,3,4,5,6
40,1403,PM国際規格から見える理想と現実,NTTデータ,企業,2,2,2,3,4
41,1404,エンタープライズアジャイルにおけるフレームワーク採用事例の特徴,文教大学,大学,2,2,2,3,3
42,1405,エンタープライズ向けアジャイル開発におけるスコープマネジメントの考察,NTTデータ,企業,1,1,1,2,2
43,1406,条件付きアソシエーション分析を用いた顧客属性別による購買ルールの抽出,千葉工業大学,大学,3,3,3,4,5
44,1407,アジャイル型開発初期参入時のスクラムチーム体制構築における対策と効果,NTTデータビジネスシステムズ,企業,3,3,3,4,5
45,2408,アフターコロナ及びDX時代に向けてPMOが為すべきこと,NTTデータ先端技術,企業,3,3,3,4,5
46,2409,チームビルディングにおけるコミュニケーション再考,東京理科大学,大学,1,1,1,1,1
47,2410,変化の激しいデジタル時代を勝ち抜く組織運営,NTTデータ,企業,3,3,3,4,5
48,2411,AIを活用した不調プロジェクトの予兆検知,日立ソリューションズ・クリエイト,企業,1,1,1,1,1
49,2412,重大障害発生時における点検方法と進捗管理の仕組みを改善し対応期間の短縮,富士通,企業,3,3,4,5,6
50,2413,DX技術を活用した東日本大震災に関わる非構造化データの可視化による震災ナレッジ共有の取り組み,NTTデータ東北,企業,3,3,4,5,6
51,2414,品質マネジメントプロセス実践の組織的取り組み(Part2),NECソリューションイノベータ,企業,2,2,2,3,4
52,1501,初学者のソフトウェア開発PBL実践における課題と解決案,千葉工業大学,大学,2,2,2,3,4
53,1502,ヒューマンモデルによる統合的コミュニケーション構造整理の提案,有人宇宙システム,企業,3,3,3,4,5
54,1503,フィーバーチャートを活用した産業機械の進捗管理手法に関する研究,神戸製鋼所,企業,2,2,2,3,3
55,1504,共創ビジネスにおける顧客満足度向上の実現に向けた取り組み,富士通,企業,1,1,1,1,1
56,1505,拡大するステークホルダのマネジメントに関する研究,文教大学,大学,1,1,1,2,2
57,1506,入札案件における顧客価値向上を見据えた要件定義,日立システムズ,企業,2,2,2,3,4
58,1507,大規模・高難度プロジェクトにおける上流工程マネジメントに関する考察,日本電気,企業,2,2,2,3,4
59,2508,住民情報パッケージビジネスにおける複数プロジェクトマネジメントのツールチェーン活用事例黒田一光,NECネクサソリューションズ,企業,2,2,2,3,4
60,2509,プロジェクトの成功に向けた仕組み整備と取り組みのポイント,NTTデータ,企業,1,1,1,2,2
61,2510,顧客向け進捗報告と課題管理業務による若手のプロジェクトマネジメント力向上,日本電気,企業,2,2,2,3,4
62,2511,プロジェクトにおける計画段階からのリスク想定の取り組み,NECソリューションイノベータ,企業,3,3,3,4,5
63,2512,リスクマネジメントの有効性を向上するための施策,日立製作所,企業,1,1,1,2,2
64,2513,SIプロジェクトにおけるリスク顕在化防止に向けたリスクデータ分析の取り組み,日本電気,企業,1,1,1,1,1
65,2514,プロジェクト内SEPGの配置推進の取り組み,NTTデータ,企業,2,2,2,3,3
66,1601,コンビニ等の夜勤労働者の有効活用法についての実例と提案,札幌学院大学,大学,3,3,3,4,5
67,1602,プログラミング未経験者のIT人材早期育成に向けたリメディアル教育手法による要員調達の有効性に関する考察,TDCソフト,企業,3,3,4,5,6
68,1603,DXの推進に影響を与える組織文化の要因の調査,慶應義塾大学,大学,3,3,3,4,5
69,1604,m-SHELモデルを用いたUXに基づく誤操作対策の提案,千葉工業大学,大学,3,3,4,5,6
70,1605,海外法人との連携における品質リスク低減のためのワークストリーム適用事例,日立製作所,企業,2,2,2,3,3
71,1606,情報システムの本番作業の品質向上活動の一事例,NTTデータ,企業,1,1,1,1,1
72,1607,ニューロダイバーシティ（神経多様性）のメンバーとのコミュニケーションに関する考察,日本アイ・ビー・エムデジタルサービス,企業,2,2,2,3,4
73,2608,品質管理における思考プロセスの形式知化の取り組み,日本電気,企業,1,1,1,1,1
74,2609,CMMIに基づくサービス提供プロセス改善に関する一考察,NTTデータ,企業,2,2,2,3,4
75,2610,ローコードツールを用いたアジャイル開発における品質確保の実践,日本電気,企業,1,1,1,1,1
76,2611,プロジェクト主導の持続的なプロセス改善を支援する伴走型OJTの実践,NTTデータ,企業,3,3,4,5,6
77,2612,海外ベンダと協業する際の品質マネジメントにおける譲歩と堅持,NECソリューションイノベータ,企業,3,3,3,4,5
78,2613,品質向上活動の事例,日本アイ・ビー・エムデジタルサービス,企業,1,1,1,2,2
79,2614,軽量なデータ駆動型品質予測モデルにより開発者中心の品質管理を牽引するツールの提案と実証,NECソリューションイノベータ,企業,3,3,4,5,6
80,1701,ソフトウェア開発PBLのためのデザインレビューチェックリストの試作,千葉工業大学,大学,2,2,2,3,4
81,1702,継続的な事業成長を支える「強い組織への進化」の取組み,日本電気通信システム,企業,2,2,2,3,4
82,1703,ERP導入における要件定義の進め方の提案,公立はこだて未来大学大学院,大学,2,2,2,3,3
83,1704,複数プロジェクトにおける有識者共有による資源マネージメント,日立製作所,企業,1,1,1,1,1
84,1705,システム開発プロジェクトにおけるニアショア導入に関する考察,日本アイ・ビー・エム,企業,1,1,1,2,2
85,1706,チーム活動をより良くするための反省会の有効活用手法,札幌学院大学,大学,2,2,2,3,4
86,1707,クラウド時代のグローバル体制におけるプロジェクト推進やチームマネジメントの事例紹介,日本電気,企業,2,2,2,3,3
87,2708,分散開発における新規ニアショア拠点立ち上げ事例について,日立社会情報サービス,企業,2,2,2,3,4
88,2709,オフショア開発からニアショア開発への体制シフトについての考察,日本アイ・ビー・エムデジタルサービス,企業,2,2,2,3,3
89,2710,日本企業のグローバルプロジェクトにおける効率的なコミュニケーションマネジメント,日立製作所,企業,2,2,2,3,3
90,2711,在宅勤務環境下におけるニアショア開発プロジェクトチームの立ち上げに関する考察,日本アイ・ビー・エムデジタルサービス,企業,2,2,2,3,4
91,2712,プロジェクト振り返りによる成功確率向上に関する考察,NECマネジメントパートナー,企業,2,2,2,3,3
92,2713,リモート開発センターにおける品質向上のための取り組み,日本アイ・ビー・エムデジタルサービス,企業,1,1,1,2,2
93,2714,変革型チームビルディング,日立製作所,企業,1,1,1,1,1
94,1801,大規模組織におけるAgile開発の実践とプロダクトオーナーのスキル獲得の一考察,クレスコ,企業,3,3,3,4,5
95,1802,EVMのPV見積もり精度向上に関する一考察,千葉工業大学,大学,3,3,3,4,5
96,1803,異文化組織間知識移転プロセスのP2M視点に依るモデル化,北陸先端科学技術大学院大学,大学,3,3,4,5,6
97,1804,不確実性が高く複雑化したウォーターフォール開発へアジャイルメソドロジーを導入したハイブリッ,日本アイ・ビー・エム,企業,3,3,4,5,6
98,1805,優良顧客を対象とした印刷素材における購買傾向の可視化,千葉工業大学,大学,3,3,3,4,5
99,1806,テレワーク時代におけるリモート・マネジメントの在り方,日立製作所,企業,1,1,1,2,2
100,1807,リモートワークを適用したITプロジェクトマネジメント事例,NTTデータ,企業,1,1,1,2,2
101,2808,コロナ禍における部門運営の課題対応に関する事例紹介,日本アイ・ビー・エムデジタルサービス,企業,2,2,2,3,4
102,2809,実判例から見るプロジェクトの情報提供義務とマネジメント義務,日立ソリューションズ,企業,2,2,2,3,4
103,2810,WFHにおける「5Generationsintheworkplace」の考察,日本アイ・ビー・エムデジタルサービス,企業,3,4,5,6,7
104,2811,テレワークを利用したプロジェクトにおけるコミュニケーション課題の改善事例,日本アイ・ビー・エムデジタルサービス,企業,1,1,1,2,2
105,2812,ニューノーマル時代における新入社員研修の一事例,NTTデータ先端技術,企業,1,1,1,1,1
106,2813,国内向けソフトウェアリモート開発センターにおける新規参画社員定着のための取り組み,日本アイ・ビー・エムデジタルサービス,企業,3,3,3,4,5
107,2814,タックマンモデルによるチームリビルディングの評価と考察,日立ソリューションズ・クリエイト,企業,1,1,1,1,1
108,1901,海外向け制御システムにおけるプロジェクトマネジメント,日立製作所,企業,1,1,1,1,1
109,1902,「七夕企画」でのプロジェクトマネジメントの効果と改善点について,札幌学院大学,大学,1,1,1,1,1
110,1903,大規模SIプロジェクトにおける第三者によるソフトウェア品質の「見える化」と品質保証の取り組み,日本電気,企業,3,3,3,4,5
111,1904,ベイジアンネットワークを用いた製品別上位顧客の購買傾向の分析,千葉工業大学,大学,3,3,3,4,5
112,1905,生体認証を利用したシステムの構築におけるプロジェクトマネジメント,日本電気,企業,1,1,1,2,2
113,1906,システム開発プロジェクトにおける統合変更管理実施の課題,日本アイ・ビー・エム,企業,1,1,1,1,1
114,1907,組織構造におけるプロジェクトの集合体の売上予測,日立ソリューションズ・クリエイト,企業,1,1,1,1,1
115,2908,ソフトウェアドキュメント検証の社内推進活動,日本電気,企業,3,3,3,4,5
116,2909,アートプロジェクトにおける契約書類の有用性,北海道教育大学,大学,1,1,1,2,2
117,2910,プログラムマネジメントにおけるライフサイクル改革についての考察,日本アイ・ビー・エム,企業,1,1,1,1,1
118,2911,ティール組織の発想をプロジェクトにも適用できるか検証してみた,日本アイ・ビー・エム,企業,1,1,1,2,2
119,2912,現代のシステム導入におけるプロジェクトマネジメント,日立製作所,企業,1,1,1,2,2
120,2913,速報用RFPインスペクションの開発と適用,日立ソリューションズ,企業,1,1,1,1,1
121,2914,社内コンプライアンスに対する取り組みの一事例,NTTデータ先端技術,企業,1,1,1,1,1
122,11001,リモートワーク環境下におけるシステムテストのプロジェクト管理手法について,日本アイ・ビー・エム,企業,1,1,1,1,1
123,11002,保守運用リーダーが着目すべき継続的サービス改善のテーマの抽出方法に関する一提案,NTTデータ関西,企業,3,3,4,5,6
124,11003,女子大学生脚痩せプロジェクト,札幌学院大学,大学,2,2,2,3,4
125,11004,スクラム型開発疑似体験ワークショップの事例紹介,東京都立産業技術大学院大学,大学,3,3,3,4,5
126,11005,転職経験と仕事への取り組み方の関連について,東京都立産業技術大学院大学,大学,2,2,2,3,4
127,11006,熟練プロジェクトマネジャーが持つ暗黙知の抽出に関する研究計画,筑波大学,大学,3,3,4,5,6
128,11007,ピクミンで考えるプロジェクトマネジメント,札幌学院大学,大学,1,1,1,2,2
129,21008,研究開発における従来型管理法とアジャイルの融合に関する一考察,千葉工業大学,大学,2,2,2,3,3
130,21009,プロジェクトマネジメントを認知する動機付けの考察,日本アイ・ビー・エムデジタルサービス,企業,1,1,1,2,2
131,21010,システム特性を考慮した規模見積りに関する考察,日立製作所,企業,1,1,1,1,1
132,21011,新卒採用におけるWell-being志向マネジメントの一提案,NTTデータ先端技術,企業,3,3,4,5,6
133,21012,リモートワークにおけるプロジェクトチームの育成,日本アイ・ビー・エムデジタルサービス,企業,1,1,1,2,2
134,21013,プロジェクトライフサイクルの循環を見据えた管理プロセスの標準化,NECソリューションイノベータ,企業,2,2,2,3,3
